,totalSales,featuresVector
0,33.29,"[9.105,0.0,0.064410783,2.0,33.39,20.0,1.0,3.0,1.0]"
1,33.29,"[9.5,0.0,0.0,8.0,32.89,20.0,1.0,3.0,1.0]"
2,33.9558,"[11.8,1.0,0.134327613,1.0,35.0558,33.0,2.0,1.0,1.0]"
3,34.6216,"[12.35,0.0,0.073077197,7.0,34.3216,33.0,2.0,1.0,1.0]"
4,35.2874,"[7.155,1.0,0.281509514,10.0,33.8874,20.0,1.0,3.0,1.0]"
5,36.619,"[15.35,0.0,0.02346559,3.0,35.219,20.0,1.0,3.0,1.0]"
6,36.619,"[15.35,0.0,0.024546148,3.0,34.619,33.0,2.0,1.0,1.0]"
7,37.2848,"[7.855,1.0,0.0,6.0,38.1848,33.0,2.0,1.0,1.0]"
8,37.9506,"[6.635,1.0,0.080697998,3.0,39.8506,33.0,2.0,1.0,1.0]"
9,37.9506,"[8.365,0.0,0.125793938,11.0,36.2506,33.0,2.0,1.0,1.0]"
10,37.9506,"[12.15,0.0,0.132952286,7.0,37.6506,20.0,1.0,3.0,1.0]"
11,37.9506,"[15.85,0.0,0.137539574,5.0,38.8506,33.0,2.0,1.0,1.0]"
12,37.9506,"[15.85,1.0,0.192650072,3.0,37.4506,33.0,2.0,1.0,1.0]"
13,38.6164,"[5.765,0.0,0.143592939,6.0,37.3164,33.0,2.0,1.0,1.0]"
14,38.6164,"[12.85,0.0,0.173324207,3.0,39.9164,33.0,2.0,1.0,1.0]"
15,39.948,"[13.85,0.0,0.05486977,12.0,40.548,33.0,2.0,1.0,1.0]"
16,39.948,"[17.25,1.0,0.209600084,14.0,40.348,20.0,1.0,3.0,1.0]"
17,40.6138,"[8.895,0.0,0.184035253,4.0,42.2138,33.0,2.0,1.0,1.0]"
18,40.6138,"[14.15,0.0,0.0,8.0,40.5138,33.0,2.0,1.0,1.0]"
19,41.2796,"[6.4,0.0,0.141860161,3.0,41.0796,20.0,1.0,3.0,1.0]"
20,41.2796,"[6.4,0.0,0.148392623,3.0,41.5796,33.0,2.0,1.0,1.0]"
21,41.2796,"[19.1,0.0,0.117825569,2.0,43.2796,33.0,2.0,1.0,1.0]"
22,41.9454,"[14.0,0.0,0.040725405,2.0,43.4454,20.0,1.0,3.0,1.0]"
23,41.9454,"[14.5,1.0,0.06904249,5.0,41.4454,20.0,1.0,3.0,1.0]"
24,41.9454,"[16.2,0.0,0.077427883,3.0,41.8454,33.0,2.0,1.0,1.0]"
25,42.6112,"[7.645,1.0,0.116793684,1.0,41.0112,33.0,2.0,1.0,1.0]"
26,42.6112,"[9.395,1.0,0.191013663,8.0,42.1112,33.0,2.0,1.0,1.0]"
27,44.6086,"[5.925,1.0,0.168901843,4.0,43.4086,33.0,2.0,1.0,1.0]"
28,44.6086,"[9.6,0.0,0.049617765,2.0,44.2086,20.0,1.0,3.0,1.0]"
29,45.2744,"[20.0,1.0,0.0,0.0,46.4744,20.0,1.0,3.0,1.0]"
30,45.9402,"[7.63,1.0,0.225476528,1.0,45.1402,20.0,1.0,3.0,1.0]"
